station_name, longtitude, latitude
Jurong East mrt,103.742286332403,1.33315281585758
Bukit Batok mrt,103.749566478309,1.34903331201636
Bukit Gombak mrt,103.751790910733,1.35861159094192
Choa Chu Kang mrt,103.744370779756,1.38536316540225
Yew Tee mrt,103.747405150236,1.39753506936297
Kranji mrt,103.762137459497,1.42508698073648
Marsiling mrt,103.774074641403,1.43252114855026
Woodlands mrt,103.787938777173,1.43605761708128
Admiralty mrt,103.800990519771,1.44058856161847
Sembawang mrt,103.820046140211,1.44905082158502
Canberra mrt,103.829702590959,1.44307664075699
Yishun mrt,103.835005047246,1.42944308477331
Khatib mrt,103.832979908243,1.41738337009565
Yio Chu Kang mrt,103.84494727118,1.38175587099132
Ang Mo Kio mrt,103.84955809232,1.36993284962262
Bishan mrt,103.84914026532,1.35131580146658
Braddell mrt,103.846799083148,1.3404690010277
Toa Payoh mrt,103.847502198048,1.33262928096888
Novena mrt,103.843825618748,1.32044079120154
Newton mrt,103.837984594021,1.3123189224097
Orchard mrt,103.823868523249,1.30242224836722
Somerset mrt,103.839085753124,1.30026416739006
Dhoby Ghaut mrt,103.846113677951,1.29870132536119
City Hall mrt,103.852585580366,1.29293672227779
Raffles Place mrt,103.851463066212,1.28393326234538
Marina Bay mrt,103.854595522263,1.276410298755
Marina South Pier mrt,103.862447515736,1.27102703612006
Pasir Ris mrt,103.949284527763,1.37304331635804
Tampines mrt,103.938436971222,1.34551530560119
Simei mrt,103.953377214378,1.34319707851829
Tanah Merah mrt,103.946348600798,1.32718729074675
Bedok mrt,103.957183823478,1.32040148729112
Kembangan mrt,103.912947930851,1.3210381335934
Eunos mrt,103.903225807255,1.31978354916088
Paya Lebar mrt,103.892260753884,1.3172473854035
Aljunied mrt,103.882906044385,1.3164326118157
Kallang mrt,103.871386541754,1.31148890998818
Lavender mrt,103.862767633888,1.30737781747063
Bugis mrt,103.855706730933,1.30046508509717
Tanjong Pagar mrt,103.845725186759,1.27656131737246
Outram Park mrt,103.840052100136,1.2802415328084
Tiong Bahru mrt,103.827445112419,1.28610253615775
Redhill mrt,103.81674097205,1.28963453412887
Queenstown mrt,103.806077155982,1.29455085184931
Commonwealth mrt,103.798228523336,1.30250199924325
Buona Vista mrt,103.790253514502,1.3072237082044
Dover mrt,103.778637841909,1.31140529320963
Clementi mrt,103.765191452888,1.31511625277378
Chinese Garden mrt,103.732596738363,1.34235282081401
Lakeside mrt,103.720949087456,1.34425911493819
Boon Lay mrt,103.706064622772,1.33860405469845
Pioneer mrt,103.697321608474,1.33758701106708
Joo Koon mrt,103.678374996165,1.3277170408447
Gul Circle mrt,103.660530461345,1.31947090075208
Tuas Crescent mrt,103.649078235627,1.32102695598684
Tuas West Road mrt,103.639616648771,1.32998504653102
Tuas Link mrt,103.636991425128,1.34088242451105
Expo mrt,103.962374747451,1.33538252614956
Changi Airport mrt,103.98788356959,1.35747897447692
HarbourFront mrt,103.821530157095,1.26538938374901
Chinatown mrt,103.845143798953,1.28422391919085
Clarke Quay mrt,103.846555209694,1.28838602407588
Little India mrt,103.849647059738,1.30680019696174
Farrer Park mrt,103.854754721344,1.31314029963164
Boon Keng mrt,103.861569454156,1.31933570922514
Potong Pasir mrt,103.869055656782,1.33137949021368
Woodleigh mrt,103.87081830915,1.33919004519388
Serangoon mrt,103.872771660431,1.35063361526525
Kovan mrt,103.885064856353,1.36017917065237
Hougang mrt,103.892380513029,1.37129226620797
Buangkok mrt,103.893122569706,1.38287001971672
Sengkang mrt,103.895484694279,1.39169462601522
Punggol mrt,103.910166388177,1.41492733388605
Bras Basah mrt,103.850667371637,1.29686168649656
Esplanade mrt,103.855081226245,1.2936577245386
Promenade mrt,103.860350000188,1.29399798636232
Nicoll Highway mrt,103.86363696572,1.29976684675139
Stadium mrt,103.875337711089,1.3028124684707
Mountbatten mrt,103.882528081052,1.30620190525331
Dakota mrt,103.889064718377,1.30854798388121
MacPherson mrt,103.889298600376,1.32615024457361
Tai Seng mrt,103.888389300191,1.33514150139202
